sentence1,sentence2,similarity_score,split
Un homme est en train d'éplucher une pomme de terre.,Un homme a épluché une pomme de terre.,3.799999952316284,train
Une femme joue de la guitare.,Un homme joue de la guitare.,2.4000000953674316,train
Une femme est en train de couper une tomate.,Un homme est en train de couper un oignon.,1.600000023841858,train
Un homme nage sous l'eau.,Une femme nage sous l'eau.,2.0,train
Un homme et une femme se parlent.,Un homme et une femme mangent.,1.600000023841858,train
Un petit chien poursuit une balle de yoga.,Un chien poursuit une balle.,4.0,train
Les hommes jouent au cricket.,Les hommes jouent au basket-ball.,2.200000047683716,train
Un homme part en moto.,Un homme est à moto.,4.400000095367432,train
Un homme joue de la guitare.,Un homme chante et joue de la guitare.,3.5999999046325684,train
L'homme a parlé au téléphone.,L'homme parle au téléphone.,3.5999999046325684,train
Un homme est en train de pêcher.,Un homme fait de l'exercice.,0.5,train
Un homme est en lévitation.,Un homme parle.,0.800000011920929,train
Deux garçons conduisent.,Deux baies dansent.,0.6000000238418579,train
Un homme est monté sur un cheval.,Une fille monte à cheval.,2.5999999046325684,train
Un homme est à vélo.,Un singe fait du vélo.,2.0,train
Un homme est en train de couper des pommes de terre.,Une femme épluche une pomme de terre.,2.200000047683716,train
Une femme épluche une pomme de terre.,Un homme coupe une pomme de terre.,2.4000000953674316,train
Un homme joue de la guitare.,Someoen joue de la guitare.,3.5999999046325684,train
Une femme est en train de couper un poireau.,Une femme est en train de couper du gingembre.,2.200000047683716,train
L'homme a coupé une assiette en papier.,Un homme coupe une assiette en papier.,4.800000190734863,train
L'homme joue de la guitare.,Un homme joue de la flûte.,1.6430000066757202,train
Un homme joue du piano.,L'homme joue du violon.,1.75,train
Une femme est en train de découper de la viande.,Une femme est en train de paner un peu de viande.,2.25,train
Un homme joue sur son clavier.,Un homme joue d'un piano à clavier.,4.0,train
La dame a coupé les oignons verts.,La dame a coupé un oignon vert.,4.800000190734863,train
Quelqu'un met des nouilles dans l'eau.,Une femme fait bouillir des nouilles dans de l'eau.,3.200000047683716,train
Lionel Richie danse au plafond.,Lionel Ritchie danse debout au plafond.,4.0,train
Un homme joue du piano.,Une personne joue du piano.,4.400000095367432,train
Une femme joue de la flûte.,Une femme joue de la flûte.,4.599999904632568,train
Un garçon vérifie un calendrier.,Un garçon regarde un calendrier.,3.799999952316284,train
Une femme est en train de couper un oignon.,Une femme est en train de couper des oignons.,4.800000190734863,train
Un homme joue de la guitare.,Un homme joue de la guitare.,4.85699987411499,train
Une femme utilise une machine à coudre.,Une femme est en train de coudre sur une machine.,5.0,train
Une femme fait des crêpes.,Un chef de bande dessinée fait des crêpes.,2.5329999923706055,train
Un homme court sur la route.,Une voiture est en train de rouler sur la route.,1.0,train
Un homme est monté sur un cheval.,Un homme parle au téléphone.,1.0,train
Un homme est à vélo.,Un homme est monté sur un cheval.,2.0,train
Une femme est en train de danser.,Un homme est en train de manger.,0.14300000667572021,train
Un homme joue du piano.,Un homme joue de la flûte.,2.0,train
Un homme joue de la flûte.,Un homme joue du piano.,1.600000023841858,train
Un homme tourne.,Un homme est en train de danser.,1.600000023841858,train
Un singe se balance de membre en membre.,Un singe se balance d'arbre en arbre.,3.4000000953674316,train
Les gens sont descendus du train.,Les gens sont descendus du train à la gare.,4.0,train
Un chien saute sur un trampoline.,Un chien rebondit sur un trampoline.,4.800000190734863,train
Un garçon joue d'un instrument.,Un homme joue de la trompette.,2.5,train
Une femme joue de la guitare.,Un homme chante et joue de la guitare.,1.75,train
Une femme choisit une boîte de conserve.,Une femme coupe une tomate.,1.0,train
Un homme est en train de grimper à une corde.,Un homme grimpe sur une corde.,5.0,train
Un homme soulève une voiture.,Un homme est en train d'escalader un mur.,1.399999976158142,train
Un homme et une femme descendent la rue dans une jeep.,Un homme et une femme roulent sur la route dans un véhicule en plein air.,4.0,train
L'homme torse nu s'est assis sur une chaise.,Un homme torse nu est assis sur une chaise.,3.799999952316284,train
Deux femmes luttent.,Deux femmes se battent sur le sol.,4.0,train
Le chiot jouait avec une balle de tennis bleue.,Un chiot joue avec une balle de tennis.,4.0,train
Un kangourou est en train de manger quelque chose.,Un kangourou est en train de manger.,4.800000190734863,train
Un chat joue du piano.,Un homme joue de la guitare.,0.6000000238418579,train
L'homme a coupé du tapis avec un couteau.,Un homme coupe un tapis avec un couteau.,4.75,train
Une femme conduit un scooter motorisé sur une route.,Un homme conduit un scooter.,2.200000047683716,train
quelqu'un coupe un légume.,Quelqu'un est en train de couper une tomate.,3.0,train
Une femme est en train de danser.,Un homme parle.,0.0,train
Un chien lèche la bave d'un bébé.,Un chien lèche un bébé.,2.200000047683716,train
Un homme rame sur un bateau.,Un homme coupe une tomate en tranches.,0.4000000059604645,train
Un homme coupe des pommes de terre.,Un homme coupe des pommes de terre.,4.800000190734863,train
Une femme est en train de hacher de l'ail.,La femme coupe l'ail en dés.,4.800000190734863,train
Un animal tourne en rond.,Un écureuil tourne en rond.,3.799999952316284,train
Un homme marche lentement sur un pont de corde.,Un garçon marche sur un pont.,3.0,train
Un homme joue de la guitare.,Un homme assis dans une pièce joue de la guitare.,4.0,train
Un homme joue de la flûte.,Un homme joue de la flûte.,5.0,train
Une femme casse deux œufs dans un bol en verre.,Une femme casse un œuf dans un bol.,3.799999952316284,train
Un homme coupe un poisson.,Un homme étripe un poisson.,3.0,train
Deux hommes font leurs valises dans le coffre d'une voiture.,Les hommes mettent des valises dans le coffre de la voiture.,4.400000095367432,train
Un homme verse de l'huile sur des tomates.,L'homme a versé de l'huile sur les tomates coupées.,3.799999952316284,train
Un homme est en train de découper quelque chose.,Un homme est en train de couper un petit pain.,3.0,train
Un homme pagaie dans un canoë.,Un homme joue de la harpe.,0.6669999957084656,train
Un homme et une femme marchent ensemble à travers les bois.,Un homme et une femme marchent bras dessus bras dessous dans une zone boisée.,4.0,train
La femme a ramassé le kangourou.,Une femme ramasse un bébé kangourou.,3.75,train
Les poissons nagent.,Un poisson nage.,4.132999897003174,train
Deux femmes mélangent quelque chose dans un robot ménager.,Deux femmes font quelque chose dans un mixeur.,4.0,train
Une personne surfe sur une grande vague.,Une personne est en train de surfer.,3.5999999046325684,train
Un homme joue de la guitare.,Un homme poignarde une cible.,1.2000000476837158,train
Un homme joue de la flûte dans un groupe.,Un homme joue de la guitare.,1.600000023841858,train
L'homme a étalé du beurre sur la miche de pain.,Un homme étend du beurre sur du pain.,4.0,train
Une personne fait bouillir des nouilles.,Une femme fait bouillir des nouilles dans de l'eau.,4.0,train
Un groupe de personnes danse sur une colline.,Un groupe de personnes est en train de danser.,3.200000047683716,train
Un homme est en train de danser dehors.,Un homme joue de la flûte.,1.0,train
Une femme nourrit un homme.,Une femme est en train de mélanger de la viande.,1.0,train
Un homme met une casserole dans un four.,Une femme est en train de couper un oignon.,0.6000000238418579,train
Une femme est assise à un bureau.,Une femme monte un âne.,0.4000000059604645,train
Les médecins transportent un patient sur un brancard.,Un médecin précipite un patient sur une civière.,3.4000000953674316,train
Une femme joue de la flûte sur scène.,La femme joue de la flûte.,3.5999999046325684,train
Deux bébés pandas jouent.,Deux pandas sont couchés ensemble.,3.0,train
Un bébé rit.,Un bébé rit et glousse.,4.0,train
Un homme joue de la guitare.,Un garçon joue du piano.,1.2000000476837158,train
Un homme est en train de plier du papier.,Une femme est en train de couper un poivron.,0.6000000238418579,train
Trois femmes dansent.,L'homme est en train de danser.,1.600000023841858,train
Les chats jouent entre eux.,Deux chats s'affrontent.,2.5999999046325684,train
Une personne est en train d'écrire.,Une personne écrit avec un crayon.,3.5999999046325684,train
Un homme est en train de courir.,Un homme est en train de courir sur une route.,3.5,train
La femme est en train de rouler la pâte.,Une femme est en train de fariner et de rouler la pâte.,3.765000104904175,train
Une femme ajoute des épices sur une viande.,Une femme ajoute du sucre à la viande.,2.75,train
Une femme ajoute de l'huile sur des poissons.,Une femme verse de l'eau sur des poissons.,2.25,train
Un jeune garçon tient une guitare.,Un petit garçon joue de la guitare.,2.75,train
Un guépard est en train de courir.,Un guépard court à travers un champ.,3.799999952316284,train
L'homme mange une pizza.,Un homme mange une tranche de pizza.,4.800000190734863,train
Un orang-outan est dans un bus.,Un singe monte dans un bus.,3.5999999046325684,train
Un homme et une femme discutent dans un restaurant.,Un homme et une femme sont à vélo.,1.2000000476837158,train
Un homme joue de la guitare.,Un homme est en train de nettoyer une porte en verre.,0.4000000059604645,train
Une fille chante et joue de la guitare.,Un jeune homme chante tout en jouant de la guitare.,2.4000000953674316,train
Une fille communique avec le langage des signes.,Une jeune fille utilise le langage des signes.,3.940999984741211,train
Une femme fait des exercices de musculation.,Une femme se coiffe.,0.5,train
Un homme monte dans une voiture.,Un homme âgé monte dans une voiture rouge.,3.75,train
Une grosse balle verte renverse une pomme de terre.,Une grosse balle verte frappe une pomme de terre.,4.0,train
Un chat joue des claviers.,Un chat joue du piano.,3.0,train
Deux chiens nagent dans une piscine.,Les chiens nagent dans une piscine.,4.199999809265137,train
L'homme a utilisé un hachoir pour couper l'oignon.,L'homme a utilisé une machine pour hacher une pomme de terre.,2.0,train
Une femme coupe du tofu.,Une femme est en train de couper du tofu.,5.0,train
Un troupeau de cerfs traverse la rue.,Un troupeau de caribous traverse une route.,3.0,train
La personne est à cheval.,Un homme est à cheval.,3.799999952316284,train
Quelqu'un nourrit un animal.,Quelqu'un joue du piano.,0.0,train
Quelqu'un coupe des tortillas.,Quelqu'un monte à cheval.,0.0,train
Quelqu'un mélange les ingrédients.,Quelqu'un est en train de coudre des choses.,0.25,train
Un coq picore une souris morte.,Un poulet picore une souris morte.,4.0,train
Une femme tient un kangourou.,Une femme est en train de ramasser un kangourou.,3.25,train
Un homme joue avec des grenouilles,Un chat joue avec un appareil photo.,0.75,train
Deux hommes parlent.,Deux hommes jouent de la guitare.,1.5,train
Un homme étend du beurre sur un gros morceau de pain.,Un homme enduit du beurre sur une tranche de pain à l'ail.,3.5,train
Un homme court à travers un haut fil.,Un homme court sur une corde.,3.0,train
Un homme est en train de tondre une pelouse.,Une femme coupe un citron.,0.20000000298023224,train
Un homme ouvre une porte.,Un homme joue de la guitare.,0.800000011920929,train
Un homme coupe une pomme de terre en morceaux.,Un homme coupe une pomme de terre.,4.199999809265137,train
La femme coupe un poulpe cuit.,Une femme est en train de découper un poulpe.,3.799999952316284,train
Un homme est en train de percer des planches.,Un chien court dans l'eau.,0.4000000059604645,train
Un homme est en train de danser.,Un homme mange du pain.,0.800000011920929,train
Quelqu'un joue du piano.,Un homme joue de la guitare.,1.2000000476837158,train
Deux renards mangent dans une assiette sur un patio en briques.,Les renards mangent dans une assiette.,2.799999952316284,train
Un garçon joue au clavier.,Un garçon joue du piano.,3.200000047683716,train
Une personne joue au clavier.,Quelqu'un joue du clavier.,5.0,train
Un homme tire au fusil.,Un homme est en train de cracher.,0.0,train
Quelqu'un est en train de couper un oignon.,Someoen est en train de peler une pomme de terre.,1.0,train
Un homme est en train de nager.,Une femme est en train de couper de la viande.,0.0,train
Un homme joue de la guitare.,Un homme joue d'une guitare acoustique.,3.75,train
Une femme coupe une citrouille.,Une femme monte un éléphant.,0.4000000059604645,train
Une femme est en train de danser.,Une femme pétrit la pâte.,0.4000000059604645,train
Une femme casse des œufs dans un bol.,Une femme place des brochettes sur une étagère.,0.6000000238418579,train
Une voiture se déplace sur une route.,Une voiture est en train de rouler sur la route.,4.0,train
Quelqu'un graisse une casserole.,Smeone est en train de se coucher.,0.4000000059604645,train
Un homme joue de la guitare.,Un homme est en train d'égoutter des pâtes.,0.4000000059604645,train
Une femme boit de la vodka.,Une femme fait de l'exercice.,0.4000000059604645,train
Une femme coupe de la viande en morceaux.,Une femme est en train de découper de la viande.,4.800000190734863,train
Un homme est en train de rincer un steak.,Un homme joue de la guitare.,0.6000000238418579,train
Un homme vend des objets.,Un homme nettoie la maison.,0.800000011920929,train
Un homme saute un mur.,Un homme saute sur un court mur.,3.200000047683716,train
Les coureurs font la course autour d'une piste.,Les coureurs s'affrontent dans une course.,3.200000047683716,train
Un homme donne un coup de pied dans un ballon de foot.,Un homme est en train de mélanger un bol.,0.6000000238418579,train
Une femme est en train de faire frire quelque chose.,Une femme monte à cheval.,0.6000000238418579,train
Un chat lèche une ventouse.,Une femme est en train de couper un concombre.,0.0,train
Une femme danse près d'un feu.,Une femme prend un bain.,1.399999976158142,train
L'homme est en train d'ouvrir un poisson.,Un homme coupe une pomme de terre en tranches.,2.200000047683716,train
Le beurre fond dans une casserole.,Un homme fait fondre du beurre dans une poêle.,3.5999999046325684,train
Trois garçons sont en train de danser.,Les enfants dansent.,3.1110000610351562,train
Une femme joue un jeu avec un homme.,Un homme joue du piano.,0.6000000238418579,train
L'homme conduit une voiture blanche.,Un homme donne une interview.,0.4000000059604645,train
Un homme conduisait sa voiture.,Un homme conduit une voiture.,4.25,train
Une voiture recule d'un espace.,Une voiture sort d'une voie bloquée.,3.0,train
Un homme met du fromage sur une pizza.,L'homme a saupoudré du fromage sur la pizza.,5.0,train
Le garçon joue du piano.,Un garçon joue du piano.,5.0,train
L'homme jouait de la guitare.,Un homme joue de la guitare.,3.75,train
Un homme est à cheval.,Un homme joue du clavier.,0.20000000298023224,train
Un homme marche sur une corde.,Un homme est à cheval sur un mo-pad.,0.4000000059604645,train
Une fille joue de la flûte.,Un groupe joue sur une scène.,1.2860000133514404,train
Les gens descendent d'un train.,Un groupe de personnes descend d'un train.,4.599999904632568,train
Une femme est en train de coudre sur une machine.,Une femme est en train de paner un peu de viande.,0.6000000238418579,train
Un chien regarde dans la piscine.,Un chien se promène autour d'une piscine.,2.0,train
Un homme est en train de beurrer un morceau de pain.,Un homme applique du beurre sur du pain.,5.0,train
Un homme coupe des tomates en morceaux.,Une femme est en train de couper des légumes.,1.7999999523162842,train
Trois adolescentes ont dansé dans la salle.,Des adolescentes dansent pour la caméra.,2.4000000953674316,train
Un lion marche.,Un lion fait les cent pas dans un enclos.,2.4000000953674316,train
Un homme qui tire sur une voiture.,Un homme coupe une pomme de terre.,0.4000000059604645,train
Un cheval noir court partout.,Le cheval court.,4.199999809265137,train
Une femme est en train de déveiner des crevettes.,Un homme danse sous la pluie.,0.0,train
Un homme est à cheval.,Une femme est en train de laver un congélateur.,0.0,train
Un homme marche sur un chemin.,Un homme marche sur une corde tendue.,0.800000011920929,train
Un homme coupe une pomme de terre en tranches.,Une femme coupe un jalapeño.,1.399999976158142,train
Un chien aboie à un ballon.,Un chien nage après une balle de tennis.,1.5,train
Un enfant fuit un poisson qui se balance sur une canne à pêche.,Un petit enfant court autour d'une canne à pêche.,2.5,train
Un homme marche sur un chemin à travers la nature sauvage.,Un homme marche sur une route.,2.5,train
Un homme âgé s'exprime sur un podium.,Un homme fait un discours à la tribune.,3.5,train
Un homme monté sur un cheval au ralenti.,Un homme est monté sur un cheval.,3.4000000953674316,train
Une personne est en train de couper du fromage burrata.,La personne est en train de trancher du fromage.,3.799999952316284,train
L'homme tire avec un fusil automatique.,Un homme tire au fusil.,3.799999952316284,train
Un homme écrase de l'ail avec le dos d'un couteau.,Une femme coupe de la viande avec un couteau.,1.5,train
Une femme lime ses ongles avec une planche à émeri.,Une femme nourrit son bébé avec un biberon.,0.5,train
Un homme fait du skateboard.,Une femme coupe une pomme de terre.,0.0,train
Une femme prend une douche.,Un homme monte un cheval blanc.,0.0,train
Un homme est en train de danser.,Un homme est à cheval.,0.800000011920929,train
Un homme rame sur un bateau.,Un homme tire au fusil.,0.8500000238418579,train
Un homme se balance à l'aide d'une corde attachée au plafond.,Un homme se balance sur une corde.,3.4000000953674316,train
Une femme monte à cheval sur une plage.,Un homme porte un autre homme sur son dos.,0.4000000059604645,train
Un homme tient un petit animal dans une main.,Un homme montre un petit singe.,1.75,train
Une personne plie un morceau de papier carré.,Un homme est en train de plier du papier.,3.25,train
Une personne fait frire de la viande dans une poêle.,Une personne tient une moufette.,0.75,train
Un chimpanzé fait du mal à une femme.,Un homme conduit une voiture.,0.0,train
La femme est en train de peler des crevettes.,L'homme tient un lémurien.,0.0,train
Deux zèbres jouent.,Les zèbres se socialisent.,4.25,train
Une femme est en train de couper du beurre.,Une femme coupe du tofu.,1.7999999523162842,train
Certains hommes jouent de la guitare.,Trois hommes jouent de la guitare et chantent ensemble.,3.200000047683716,train
Les éléphants se sont aspergés d'eau.,Les éléphants s'aspergent d'eau.,3.5999999046325684,train
Un chien s'est assis au comptoir d'un magasin.,Le chien est debout au comptoir.,2.5999999046325684,train
Quelqu'un perce un trou dans une bande de bois avec une perceuse électrique.,Un homme perce un trou dans un morceau de bois.,3.200000047683716,train
Une femme est en train de couper des légumes.,La femme coupe l'ail en dés.,2.799999952316284,train
Un blaireau est en train de creuser un trou.,Un blaireau est en train de creuser la terre.,4.599999904632568,train
Une femme fait du ski nautique sur un lac.,Un homme joue de la flûte.,0.0,train
Une fille joue du violon.,Un bébé rit et glousse.,0.25,train
Un hélicoptère se pose sur un héliport.,Un hélicoptère se pose.,3.9230000972747803,train
Une femme est en train de découper un poulet.,Une femme est en train de couper de la viande.,2.75,train
Une femme est en train de couper un concombre.,Un homme joue de la guitare.,0.0,train
Une femme monte un éléphant devant une foule en adoration.,Une femme monte un éléphant.,3.0,train
Un chiot glisse à reculons sur le sol.,Un chiot se pousse en arrière.,3.799999952316284,train
Une femme fend des gousses d'ail.,Une femme casse une tête d'ail en gousse.,4.599999904632568,train
Un chien regarde dans la piscine.,Un chien se promène au bord d'une piscine.,2.5999999046325684,train
Une femme mélange un soin de beauté dans un verre.,Une femme mélange une crème dans un verre avec une cuillère.,3.5999999046325684,train
Un homme est en train de faire un dessin.,Une personne est en train de dessiner.,3.5999999046325684,train
Une femme cueille des tomates.,Une femme verse de la pâte dans un bol.,1.0,train
Un homme regarde un écran d'ordinateur.,Un homme utilise un ordinateur portable.,2.75,train
Le garçon est sur un tricycle.,Une femme conduit un scooter des mers.,1.25,train
Deux hommes s'affrontent dans une course au roulement de pneus.,Deux personnes ont retourné des pneus de tracteur dans une course.,2.75,train
Une personne est en train de couper une viande.,Une personne chevauchant un taureau mécanique,0.0,train
Un homme joue du violon.,Une femme utilise une machine à coudre.,0.0,train
Le bébé a rampé dans l'embrasure de la porte.,Un bébé rampe sur le sol.,2.4000000953674316,train
Un homme joue du clavier.,Une personne joue du piano.,2.200000047683716,train
Un homme sent deux pizzas.,Une femme nourrit un homme.,0.20000000298023224,train
Un singe tire la queue d'un chien.,Un singe taquine un chien au zoo.,2.799999952316284,train
Un chien est couché sur le dos sur un plancher de bois.,Un chien est couché sur le sol.,4.0,train
Une femme fait frire quelque chose dans la poêle.,Un homme joue de la guitare.,0.0,train
Un homme met de l'assaisonnement dans un bol d'eau.,L'homme a ajouté de l'assaisonnement à l'eau dans un bol.,5.0,train
Une femme âgée verse de l'huile dans une poêle à frire.,Un homme ligoté se met à l'eau.,0.0,train
Une femme est en train de couper un oignon.,Une femme coupe partiellement un oignon en deux.,3.200000047683716,train
La femme a ramassé le kangourou.,Une femme porte un kangourou.,3.5,train
Un chien qui mord sur une boîte de conserve.,Un chien ouvre une boîte de nourriture.,1.75,train
Une femme est en train de désosser un poisson.,Un homme attrape un poisson.,1.25,train
Un homme tond l'herbe.,Un homme est en train de briser du béton.,0.8330000042915344,train
Un chat regarde la télévision.,Un homme est en train de couper un congé.,0.0,train
Le garçon est coincé dans la porte de la niche.,Un enfant est coincé dans une niche pour chien.,3.75,train
Les gens se jettent dans une piscine.,Des hommes tombent dans une piscine.,2.75,train
Une femme nage sous l'eau.,Une femme nage.,3.799999952316284,train
Un homme joue de la guitare.,Une femme est en train de danser.,0.20000000298023224,train
Un avion vole dans les airs.,Un avion de la South African Airways vole dans un ciel bleu.,3.4000000953674316,train
Un ours court après deux chiens.,Un ours se bat contre des loups.,1.399999976158142,train
Une femme se repose dans un radeau flottant.,Une femme se détend dans une chambre à air.,3.799999952316284,train
Un homme est en train de mourir dans une salle d'opération.,Un homme embrasse une femme sur scène.,0.4000000059604645,train
Un homme tient une feuille.,Une femme regarde la télévision.,0.0,train
Une personne monte à cheval.,Une femme est en train de couper des pommes de terre.,0.0,train
Une femme coupe un poulpe.,Un homme joue de la guitare.,0.0,train
Un homme casse des cruches d'eau.,Une femme épluche de l'ail.,0.20000000298023224,train
Un homme joue de la guitare.,Une femme coupe des légumes.,0.0,train
Une fille mange un petit gâteau.,Un homme est en train de couper un concombre.,0.0,train
La petite fille jouait sur l'herbe avec un chien et une balle.,Un bébé joue avec un chien et une balle.,3.799999952316284,train
Les gens montent et pagaient un radeau.,Quatre personnes flottent sur un radeau.,2.25,train
La dame a coupé une patate.,Un homme coupe une pomme de terre.,2.4000000953674316,train
Le missile a explosé.,Une fusée a explosé.,3.200000047683716,train
Un chien joue dans la neige.,Un chien tripote une mouche dans le tapis avant elle.,1.600000023841858,train
Une femme danse avec d'autres femmes.,Une femme est en train de déchiqueter des poulets.,0.4000000059604645,train
Un garçon pousse une camionnette.,Une personne coupe une tomate en tranches.,0.0,train
Un garçon fait quelques pas de danse.,Un garçon verse quelque chose d'un pichet.,0.4000000059604645,train
Une femme ouvre un soda et le boit.,Une femme est à cheval sur un éléphant.,0.6000000238418579,train
Un homme assemble des pièces de haut-parleurs.,Un homme joue de la guitare.,1.0,train
Le chien marchait au bord de la piscine.,Un chien se promène le long d'une piscine.,4.599999904632568,train
Le beurre est mis dans un bol.,Un homme qui coupe du beurre dans un bol.,4.25,train
